x35_mapped,x36_mapped,x37_mapped,x38_mapped,x39_mapped,x40_mapped,x50_mapped,x51_mapped,x52_mapped,x53_mapped,x54_mapped,x55_mapped,x57_mapped,x41_mapped,x42_mapped,x1_mapped,x5_mapped,x7_mapped,x43_mapped,x44_mapped,x45_mapped,x46_mapped,x47_mapped,x48_mapped,x49_mapped,x56_mapped,x6_mapped,x8_mapped,x9_mapped,x10_mapped,x11_mapped,x12_mapped,x13_mapped,x14_mapped,x15_mapped,x16_mapped,x17_mapped,x18_mapped,x19_mapped,x20_mapped,x21_mapped,x22_mapped,x23_mapped,x24_mapped,x4_mapped,x3_mapped,x58_mapped,Unnamed: 0,label_kenaikan
4,8,12,14,4,12,12,14,8,8,8,12,0.0,5,5,1,0,0,1,1,0.0,0.0,0.0,1.0,1.0,0,3500,22,0,0,1,0,1,0,0,0,0,3,1,1,4,0,6,1,4,1.0,,0,1
8,8,8,12,12,8,14,8,12,12,8,12,0.0,2,2,1,0,1,1,1,1.0,0.0,1.0,1.0,0.0,1,3500,22,2,1,1,1,0,0,2,3,2,2,2,2,4,0,2,2,4,1.0,,1,0
0,0,8,12,8,12,12,2,2,2,2,2,0.0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,900,3,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,3.0,,2,1
2,2,12,14,0,0,12,2,2,2,8,12,0.0,3,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,3500,22,1,1,1,1,1,0,0,0,0,1,2,1,4,0,2,1,6,1.0,,3,0
2,2,8,8,8,8,8,2,8,8,2,12,0.0,0,0,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0,900,22,1,0,1,0,0,2,1,0,0,6,0,2,6,0,2,0,5,1.0,,4,1
2,2,12,12,12,12,8,14,2,2,12,2,0.0,5,5,1,1,1,0,0,0.0,0.0,0.0,0.0,1.0,0,3500,22,2,0,1,1,0,0,3,1,1,3,2,2,4,0,3,2,6,1.0,,5,0
2,2,12,12,0,0,2,14,14,14,14,14,0.0,5,5,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,1,3500,13,1,0,1,1,0,0,0,0,0,1,1,1,2,0,3,2,3,1.0,,6,1
2,4,12,14,0,0,12,2,12,12,12,8,0.0,5,5,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1,3500,22,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,5,1.0,,7,0
4,2,12,12,12,8,14,8,8,12,14,2,2.0,2,2,1,1,1,0,0,0.0,1.0,1.0,0.0,1.0,1,1300,13,1,1,1,1,1,0,1,1,1,2,2,1,2,1,0,1,4,1.0,,8,0
2,2,8,8,0,0,12,2,12,12,8,12,0.0,0,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0,2200,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,3.0,,9,0
8,12,12,14,8,12,12,2,8,8,8,8,0.0,5,4,1,0,1,1,0,0.0,1.0,1.0,1.0,0.0,0,3500,13,2,1,2,1,1,0,1,1,1,3,1,2,3,0,3,1,4,1.0,,10,0
0,0,8,12,8,8,8,2,2,2,2,2,0.0,1,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,2200,3,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,3.0,,11,1
8,4,12,12,14,14,14,14,8,8,8,8,0.0,3,3,1,0,1,0,1,0.0,1.0,0.0,0.0,1.0,0,2200,8,1,1,0,0,0,1,1,1,0,1,2,1,2,0,3,1,3,1.0,,12,0
8,4,12,8,12,8,12,8,8,8,8,12,0.0,5,5,1,0,1,0,1,0.0,0.0,0.0,0.0,1.0,1,3500,22,1,1,1,1,1,0,1,1,0,3,1,2,4,0,2,1,1,1.0,,13,0
4,4,12,12,12,8,12,8,8,8,12,12,0.0,3,2,1,1,0,0,1,0.0,0.0,1.0,0.0,1.0,1,2200,8,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,2,1.0,,14,0
8,8,12,12,2,4,12,12,12,12,12,12,0.0,4,4,1,1,0,1,1,1.0,1.0,0.0,1.0,1.0,1,2200,22,0,0,1,0,0,0,1,0,0,1,0,1,3,0,1,1,4,1.0,,15,1
2,4,8,12,0,0,14,2,8,12,2,8,0.0,3,2,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,1300,8,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,4,1.0,,16,0
8,12,8,4,4,4,8,2,2,8,8,12,0.0,3,5,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0,3500,22,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,3,1.0,,17,0
2,4,8,12,4,2,2,2,2,8,8,8,0.0,0,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,2200,3,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,4,1.0,,18,0
2,2,2,2,0,0,8,8,8,2,8,2,0.0,3,1,1,0,0,0,1,1.0,0.0,1.0,1.0,1.0,1,1300,8,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,4,1.0,,19,1
2,2,12,12,4,2,8,8,2,12,12,12,0.0,5,3,1,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,1300,8,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,4,1.0,,20,0
