,x1,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x60,x62
0,Iya,Rumah,4,Sejuk,> 2200 VA,Tidak,lebih dari 20,Tidak ada,Tidak ada,1,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,3,1,1,4,Tidak ada,lebih dari 5,1,2 - 4 jam,4 - 8 jam,> 8 jam,> 12 jam,2 - 4 jam,8 - 12 jam,> 4 Kali,> 4 kali,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ya,9-12 Jam,> 12 Jam,3-8 Jam,3-8 Jam,3-8 Jam,9-12 Jam,TIdak,Tidak mempunyai kendaraan listrik,Rp. 1.000.001 - Rp 1.500.000,"Januari, Juni, Juli, Desember",3.0
1,Iya,Rumah,4,Sejuk,> 2200 VA,Ya,lebih dari 20,2,1,1,1,Tidak ada,Tidak ada,2,3,2,2,2,2,4,Tidak ada,2,2,4 - 8 jam,4 - 8 jam,4 - 8 jam,8 - 12 jam,8 - 12 jam,4 - 8 jam,2 kali,2 kali,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,> 12 Jam,3-8 Jam,9-12 Jam,9-12 Jam,3-8 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 1.500.001 - Rp 2.000.000,Tidak Ada perbedaan signifikan,2.0
2,Iya,Kos,1,Sejuk,900 VA,Ya,1-5,1,Tidak ada,Tidak ada,1,Tidak ada,Tidak ada,1,1,1,Tidak ada,1,1,1,Tidak ada,Tidak ada,Tidak ada,Tidak punya TV,Tidak punya TV,4 - 8 jam,8 - 12 jam,4 - 8 jam,8 - 12 jam,Tidak punya mesin cuci,Tidak punya setrika,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,9-12 Jam,<2 Jam,<2 Jam,<2 Jam,<2 Jam,<2 Jam,TIdak,Tidak mempunyai kendaraan listrik,< Rp. 500.000,"November, Desember",4.0
3,Iya,Rumah,> 5,Panas,> 2200 VA,Ya,lebih dari 20,1,1,1,1,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,2,1,4,Tidak ada,2,1,< 2 jam,< 2 jam,> 8 jam,> 12 jam,Tidak punya komputer,Tidak punya komputer,3 kali,1 kali,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,9-12 Jam,<2 Jam,<2 Jam,<2 Jam,3-8 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,> Rp 2.000.000,Tidak Ada perbedaan signifikan,3.0
4,Iya,Rumah,5,Panas,900 VA,Ya,lebih dari 20,1,Tidak ada,1,Tidak ada,Tidak ada,2,1,Tidak ada,Tidak ada,lebih dari 5,Tidak ada,2,lebih dari 5,Tidak ada,2,Tidak ada,< 2 jam,< 2 jam,4 - 8 jam,4 - 8 jam,4 - 8 jam,4 - 8 jam,Tidak punya mesin cuci,Tidak punya setrika,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,3-8 Jam,<2 Jam,3-8 Jam,3-8 Jam,<2 Jam,9-12 Jam,TIdak,Tidak mempunyai kendaraan listrik,Rp. 1.500.001 - Rp 2.000.000,September,3.0
5,Iya,Rumah,> 5,Panas,> 2200 VA,Ya,lebih dari 20,2,Tidak ada,1,1,Tidak ada,Tidak ada,3,1,1,3,2,2,4,Tidak ada,3,2,< 2 jam,< 2 jam,> 8 jam,8 - 12 jam,8 - 12 jam,8 - 12 jam,> 4 Kali,> 4 kali,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,3-8 Jam,> 12 Jam,<2 Jam,<2 Jam,9-12 Jam,<2 Jam,TIdak,Tidak mempunyai kendaraan listrik,> Rp 2.000.000,Tidak Ada perbedaan signifikan,4.0
6,Iya,Rumah,3,Sejuk,> 2200 VA,Tidak,10-15,1,Tidak ada,1,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,1,1,2,Tidak ada,3,2,< 2 jam,< 2 jam,> 8 jam,8 - 12 jam,Tidak punya komputer,Tidak punya komputer,> 4 Kali,> 4 kali,Tidak,Ya,Ya,,,,Ya,<2 Jam,> 12 Jam,> 12 Jam,> 12 Jam,> 12 Jam,> 12 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 1.500.001 - Rp 2.000.000,"Januari, Februari, Maret, April, Mei, Juni, Juli, Agustus, September, Oktober, November, Desember, Tidak Ada perbedaan signifikan",1.0
7,Iya,Rumah,5,Sejuk,> 2200 VA,Ya,lebih dari 20,1,1,1,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,1,1,Tidak ada,1,1,< 2 jam,2 - 4 jam,> 8 jam,> 12 jam,Tidak punya komputer,Tidak punya komputer,> 4 Kali,> 4 kali,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,9-12 Jam,<2 Jam,9-12 Jam,9-12 Jam,9-12 Jam,3-8 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 1.500.001 - Rp 2.000.000,Tidak Ada perbedaan signifikan,4.0
8,Iya,Rumah,4,Panas,1300 VA,Ya,10-15,1,1,1,1,1,Tidak ada,1,1,1,2,2,1,2,1,Tidak ada,1,2 - 4 jam,< 2 jam,> 8 jam,8 - 12 jam,8 - 12 jam,4 - 8 jam,2 kali,2 kali,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Ya,> 12 Jam,3-8 Jam,3-8 Jam,9-12 Jam,> 12 Jam,<2 Jam,Ya,1-2 Jam,Rp. 1.000.001 - Rp 1.500.000,Tidak Ada perbedaan signifikan,3.0
9,Iya,Kos,1,Sejuk,2200 VA,Ya,1-5,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,1,1,Tidak ada,Tidak ada,Tidak ada,< 2 jam,< 2 jam,4 - 8 jam,4 - 8 jam,Tidak punya komputer,Tidak punya komputer,Tidak punya mesin cuci,Tidak punya setrika,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,9-12 Jam,<2 Jam,9-12 Jam,9-12 Jam,3-8 Jam,9-12 Jam,TIdak,Tidak mempunyai kendaraan listrik,< Rp. 500.000,Tidak Ada perbedaan signifikan,2.0
